type,year,rank
Italian,2004,0
Chinese,2004,9
Japanese and Korean,2004,0
Comfort Food,2004,10
American and British,2004,9
Halal,2004,0
French,2004,0
Southeast Asian,2004,0
Spanish,2004,0
Indian,2004,0
Italian,2005,3
Chinese,2005,2
Japanese and Korean,2005,5
Comfort Food,2005,7
American and British,2005,9
Halal,2005,1
French,2005,10
Southeast Asian,2005,8
Spanish,2005,6
Indian,2005,4
Italian,2006,4
Chinese,2006,5
Japanese and Korean,2006,8
Comfort Food,2006,2
American and British,2006,7
Halal,2006,1
French,2006,10
Southeast Asian,2006,6
Spanish,2006,9
Indian,2006,3
Italian,2007,6
Chinese,2007,4
Japanese and Korean,2007,8
Comfort Food,2007,2
American and British,2007,7
Halal,2007,1
French,2007,10
Southeast Asian,2007,5
Spanish,2007,9
Indian,2007,3
Italian,2008,5
Chinese,2008,2
Japanese and Korean,2008,8
Comfort Food,2008,3
American and British,2008,7
Halal,2008,1
French,2008,10
Southeast Asian,2008,6
Spanish,2008,9
Indian,2008,4
Italian,2009,6
Chinese,2009,1
Japanese and Korean,2009,9
Comfort Food,2009,3
American and British,2009,8
Halal,2009,2
French,2009,10
Southeast Asian,2009,5
Spanish,2009,7
Indian,2009,4
Italian,2010,5
Chinese,2010,3
Japanese and Korean,2010,8
Comfort Food,2010,4
American and British,2010,7
Halal,2010,2
French,2010,10
Southeast Asian,2010,6
Spanish,2010,9
Indian,2010,1
Italian,2011,5
Chinese,2011,4
Japanese and Korean,2011,8
Comfort Food,2011,3
American and British,2011,7
Halal,2011,2
French,2011,9
Southeast Asian,2011,6
Spanish,2011,10
Indian,2011,1
Italian,2012,5
Chinese,2012,4
Japanese and Korean,2012,9
Comfort Food,2012,3
American and British,2012,7
Halal,2012,2
French,2012,8
Southeast Asian,2012,6
Spanish,2012,10
Indian,2012,1
Italian,2013,5
Chinese,2013,4
Japanese and Korean,2013,10
Comfort Food,2013,3
American and British,2013,8
Halal,2013,2
French,2013,7
Southeast Asian,2013,6
Spanish,2013,9
Indian,2013,1
Italian,2014,5
Chinese,2014,3
Japanese and Korean,2014,10
Comfort Food,2014,4
American and British,2014,9
Halal,2014,2
French,2014,8
Southeast Asian,2014,6
Spanish,2014,7
Indian,2014,1
Italian,2015,5
Chinese,2015,2
Japanese and Korean,2015,10
Comfort Food,2015,3
American and British,2015,9
Halal,2015,4
French,2015,7
Southeast Asian,2015,6
Spanish,2015,8
Indian,2015,1
Italian,2016,5
Chinese,2016,1
Japanese and Korean,2016,10
Comfort Food,2016,2
American and British,2016,9
Halal,2016,3
French,2016,7
Southeast Asian,2016,6
Spanish,2016,8
Indian,2016,4